sequence_id,visible_filename,thermal_filename,visible_exists,thermal_exists,notes
0509,DJI_20260602140341_0509_V.JPG,DJI_20260602140341_0509_T.JPG,yes,yes,
0510,DJI_20260602140342_0510_V.JPG,DJI_20260602140342_0510_T.JPG,yes,yes,
0511,DJI_20260602140342_0511_V.JPG,DJI_20260602140342_0511_T.JPG,yes,yes,
0512,DJI_20260602140343_0512_V.JPG,DJI_20260602140343_0512_T.JPG,yes,yes,
0513,DJI_20260602140344_0513_V.JPG,DJI_20260602140344_0513_T.JPG,yes,yes,
0514,DJI_20260602140344_0514_V.JPG,DJI_20260602140345_0514_T.JPG,yes,yes,
0515,DJI_20260602140345_0515_V.JPG,DJI_20260602140345_0515_T.JPG,yes,yes,
0516,DJI_20260602140346_0516_V.JPG,DJI_20260602140346_0516_T.JPG,yes,yes,
0517,DJI_20260602140346_0517_V.JPG,DJI_20260602140347_0517_T.JPG,yes,yes,
0518,DJI_20260602140347_0518_V.JPG,DJI_20260602140347_0518_T.JPG,yes,yes,
0519,DJI_20260602140348_0519_V.JPG,DJI_20260602140348_0519_T.JPG,yes,yes,
0520,DJI_20260602140349_0520_V.JPG,DJI_20260602140349_0520_T.JPG,yes,yes,
0521,DJI_20260602140349_0521_V.JPG,DJI_20260602140349_0521_T.JPG,yes,yes,
0522,DJI_20260602140350_0522_V.JPG,DJI_20260602140350_0522_T.JPG,yes,yes,
0523,DJI_20260602140351_0523_V.JPG,DJI_20260602140351_0523_T.JPG,yes,yes,
0524,DJI_20260602140351_0524_V.JPG,DJI_20260602140352_0524_T.JPG,yes,yes,
0525,DJI_20260602140352_0525_V.JPG,DJI_20260602140352_0525_T.JPG,yes,yes,
0526,DJI_20260602140353_0526_V.JPG,DJI_20260602140353_0526_T.JPG,yes,yes,
0527,DJI_20260602140353_0527_V.JPG,DJI_20260602140354_0527_T.JPG,yes,yes,
0528,DJI_20260602140354_0528_V.JPG,DJI_20260602140354_0528_T.JPG,yes,yes,
0529,DJI_20260602140355_0529_V.JPG,DJI_20260602140355_0529_T.JPG,yes,yes,
0530,DJI_20260602140356_0530_V.JPG,DJI_20260602140356_0530_T.JPG,yes,yes,
0531,DJI_20260602140356_0531_V.JPG,DJI_20260602140356_0531_T.JPG,yes,yes,
0532,DJI_20260602140357_0532_V.JPG,DJI_20260602140357_0532_T.JPG,yes,yes,
0533,DJI_20260602140358_0533_V.JPG,DJI_20260602140358_0533_T.JPG,yes,yes,
0534,DJI_20260602140358_0534_V.JPG,DJI_20260602140359_0534_T.JPG,yes,yes,
0535,DJI_20260602140359_0535_V.JPG,DJI_20260602140359_0535_T.JPG,yes,yes,
0536,DJI_20260602140400_0536_V.JPG,DJI_20260602140400_0536_T.JPG,yes,yes,
0537,DJI_20260602140400_0537_V.JPG,DJI_20260602140401_0537_T.JPG,yes,yes,
0538,DJI_20260602140401_0538_V.JPG,DJI_20260602140401_0538_T.JPG,yes,yes,
0539,DJI_20260602140402_0539_V.JPG,DJI_20260602140402_0539_T.JPG,yes,yes,
0540,DJI_20260602140403_0540_V.JPG,DJI_20260602140403_0540_T.JPG,yes,yes,
0541,DJI_20260602140403_0541_V.JPG,DJI_20260602140403_0541_T.JPG,yes,yes,
0542,DJI_20260602140404_0542_V.JPG,DJI_20260602140404_0542_T.JPG,yes,yes,
0543,DJI_20260602140405_0543_V.JPG,DJI_20260602140405_0543_T.JPG,yes,yes,
0544,DJI_20260602140405_0544_V.JPG,DJI_20260602140406_0544_T.JPG,yes,yes,
0545,DJI_20260602140406_0545_V.JPG,DJI_20260602140406_0545_T.JPG,yes,yes,
0546,DJI_20260602140407_0546_V.JPG,DJI_20260602140407_0546_T.JPG,yes,yes,
